0.003906,0.011719,1.009033,-0.182927,0.000000,0.121951,0.000000.1,0.000000.2,0.000000.3
-0.000244,0.022461,0.996094,0.121951,0.0,-0.060976,0.0,0.0,0.0
-0.00415,0.022949,0.99707,-0.182927,-0.365854,-0.365854,0.0,0.0,0.0
-0.001221,0.020752,1.0,-0.304878,-0.670732,0.365854,0.0,0.0,0.0
-0.002441,0.022705,1.00708,-0.304878,-0.670732,0.182927,0.0,0.0,0.0
-0.003906,0.019775,0.999512,-0.426829,-0.548781,0.426829,0.0,0.0,0.0
0.002686,0.02124,1.004639,-0.426829,-0.365854,0.426829,0.0,0.0,0.0
-0.001465,0.018066,1.004639,-0.426829,-0.182927,0.426829,0.0,0.0,0.0
-0.001221,0.023438,0.999268,-0.304878,-0.060976,0.365854,0.0,0.0,0.0
-0.003906,0.016602,1.005371,-0.304878,-0.243902,0.609756,0.0,0.0,0.0
-0.009766,0.027344,1.002197,-0.365854,0.0,0.731707,0.0,0.0,0.0
-0.000488,0.032715,1.001709,-0.182927,0.060976,0.731707,0.0,0.0,0.0
-0.007324,0.022461,1.001221,-0.548781,0.060976,0.304878,0.0,0.0,0.0
0.001709,0.02417,1.003418,-0.487805,0.060976,0.548781,0.0,0.0,0.0
-0.013184,0.011475,0.998291,-0.121951,0.243902,0.304878,0.0,0.0,0.0
-0.006348,0.020752,1.006104,-0.304878,-0.060976,0.182927,0.0,0.0,0.0
-0.004883,0.02124,1.000732,-0.670732,-0.182927,0.487805,0.0,0.0,0.0
-0.007324,0.03418,0.994873,-0.182927,-0.304878,0.365854,0.0,0.0,0.0
-0.010254,0.028564,0.999512,-0.182927,-0.182927,0.365854,0.0,0.0,0.0
-0.0271,0.032227,1.001465,-0.426829,-0.060976,0.426829,0.0,0.0,0.0
-0.042725,0.03125,1.000977,-0.060976,-0.121951,0.121951,0.0,0.0,0.0
-0.026123,0.020996,1.012695,-0.914634,-0.060976,0.97561,0.0,0.0,0.0
-0.02832,0.023193,1.003662,-0.365854,-0.121951,1.219512,0.0,0.0,0.0
-0.050781,0.02832,0.998291,-0.182927,-0.121951,1.219512,0.0,0.0,0.0
-0.150146,-0.008789,1.006592,0.243902,0.243902,2.5,0.0,0.0,0.0
-0.023926,0.02417,0.995605,0.304878,0.0,4.817073,0.0,0.0,0.0
-0.072266,0.025635,1.003906,-0.914634,0.243902,4.512195,0.0,0.0,0.0
-0.092041,0.041748,1.001465,-0.243902,0.121951,4.695122,0.0,0.0,0.0
