acc_X,acc_Y,acc_Z,digit
-102,237,4076,0
-125,316,3910,0
-107,377,3943,0
-93,229,4038,0
-72,100,4127,0
-13,200,4256,0
29,324,4280,0
11,252,4200,0
213,-134,4938,0
174,-326,4907,0
114,-514,4785,0
53,-568,4568,0
10,-425,4412,0
-35,-324,4334,0
-84,-366,4265,0
-143,-425,4224,0
-188,-501,4167,0
-224,-552,4128,0
-247,-452,4067,0
-300,-299,3911,0
-323,-198,3854,0
-297,-74,3955,0
-301,-89,3997,0
-383,-246,3850,0
-469,-255,3646,0
-526,-201,3491,0
-547,-207,3459,0
-557,-190,3525,0
-604,-222,3503,0
-654,-271,3437,0
-696,-273,3310,0
-777,-345,3164,0
-859,-347,3026,0
-882,-99,2699,0
-885,-22,2651,0
-917,-292,2718,0
-951,-478,2679,0
-941,-321,2586,0
-928,-130,2492,0
-904,-4,2458,0
-837,246,2520,0
-814,360,2571,0
-807,415,2611,0
-780,531,2609,0
-799,520,2583,0
-845,477,2474,0
-893,501,2298,0
-904,617,2108,0
-793,936,2215,0
-642,1047,2684,0
-569,852,3095,0
-548,761,3114,0
-570,806,2883,0
-610,813,2767,0
-610,895,2636,0
-538,1188,2584,0
-421,1470,2796,0
-277,1735,3134,0
-223,1697,3210,0
-131,1558,3503,0
-60,1279,3908,0
-120,922,3890,0
-202,967,3472,0
-129,1481,3264,0
33,1942,3314,0
188,2050,3476,0
346,2040,3876,0
464,2110,4144,0
453,1945,4186,0
411,1611,4212,0
376,1450,4106,0
373,1472,3867,0
423,1529,3611,0
594,1734,3743,0
771,1842,4002,0
887,1858,4109,0
1004,1731,4330,0
1048,1493,4578,0
1074,1365,4589,0
1085,1293,4489,0
1186,1521,4501,0
1320,1790,4659,0
1363,1679,4740,0
1377,1434,4681,0
1407,1238,4598,0
1451,1147,4691,0
1488,1085,4736,0
1540,1036,4771,0
1598,1132,4851,0
1678,1285,4895,0
1765,1375,5082,0
1835,1362,5409,0
1921,1323,5796,0
1930,1215,5930,0
1836,1018,5752,0
1783,878,5587,0
1777,960,5439,0
1663,893,5113,0
1527,671,4810,0
1479,496,4786,0
1481,396,4915,0
1460,298,4913,0
1433,120,4867,0
1458,308,4897,0
1497,481,4893,0
1500,456,4969,0
1457,338,4980,0
1394,362,4834,0
1352,499,4794,0
1339,697,4868,0
1262,720,4707,0
1160,500,4518,0
1097,334,4456,0
1065,300,4299,0
1062,317,4139,0
1101,173,4284,0
1128,42,4371,0
1064,-8,4231,0
954,-121,4157,0
911,-44,4126,0
882,204,4034,0
827,185,3982,0
773,85,4023,0
678,70,3934,0
549,22,3675,0
443,-69,3477,0
376,-154,3444,0
342,-127,3485,0
299,-91,3427,0
308,-36,3470,0
358,72,3720,0
352,72,3791,0
291,121,3665,0
232,156,3605,0
163,62,3517,0
141,-13,3523,0
175,129,3680,0
43,310,3420,0
-45,144,3341,0
-148,-105,3193,0
-209,-207,3062,0
-230,-100,3068,0
-274,-8,3050,0
-288,169,2954,0
-211,260,3205,0
-132,149,3555,0
-62,98,3829,0
-29,236,3992,0
-81,495,3808,0
-81,495,3808,0
-183,634,3465,0
-182,478,3598,0
-72,667,3839,0
-38,694,3990,0
-98,484,4030,0
-137,457,3908,0
-142,561,3836,0
-127,594,3887,0
-134,615,3910,0
-87,717,3955,0
-58,687,4130,0
-24,612,4275,0
-54,480,4181,0
-101,298,4032,0
-128,227,3944,0
-64,357,3991,0
20,485,4157,0
100,519,4393,0
137,509,4489,0
95,437,4368,0
36,446,4156,0
16,396,4107,0
-64,134,4052,0
-94,36,4052,0
-42,268,4093,0
-30,415,4169,0
-73,320,4076,0
-95,280,4077,0
-81,271,3997,0
-117,126,3907,0
-43,104,4145,0
